epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS
8,0.14657962895234425,0.9599,0.9468,0.9548,0.9468,128,s,0.01,0.25,30,3,50000,20
9,0.14289607294003168,0.9607166666666667,0.9473,0.9586,0.9473,128,s,0.01,0.25,30,3,50000,20
10,0.1406563194433848,0.9614666666666667,0.9419,0.9578,0.9419,128,s,0.01,0.25,30,3,50000,20
1,0.41026812290350595,0.8845166666666666,0.9329,0.9328,0.9329,128,sparsemax,0.01,0.25,30,3,50000,20
2,0.22435227137406666,0.93625,0.935,0.9452,0.935,128,sparsemax,0.01,0.25,30,3,50000,20
3,0.19078750816980997,0.9466166666666667,0.9381,0.9489,0.9381,128,sparsemax,0.01,0.25,30,3,50000,20
4,0.1759643601179123,0.9497,0.9434,0.951,0.9434,128,sparsemax,0.01,0.25,30,3,50000,20
5,0.16402302491664886,0.9547,0.9251,0.9524,0.9251,128,sparsemax,0.01,0.25,30,3,50000,20
6,0.1566247581799825,0.9566666666666667,0.9436,0.9549,0.9436,128,sparsemax,0.01,0.25,30,3,50000,20
7,0.15053400224844615,0.9578166666666666,0.9466,0.9561,0.9466,128,sparsemax,0.01,0.25,30,3,50000,20
1,0.40978945616086326,0.88215,0.8994,0.9221,0.8994,128,softmax,0.01,0.25,30,3,50000,20
2,0.22640277169545492,0.9345833333333333,0.9322,0.9438,0.9322,128,softmax,0.01,0.25,30,3,50000,20
3,0.191688108531634,0.9460166666666666,0.9394,0.9482,0.9394,128,softmax,0.01,0.25,30,3,50000,20
4,0.17660030981699626,0.9492166666666667,0.9513,0.954,0.9513,128,softmax,0.01,0.25,30,3,50000,20
5,0.1661985530058543,0.9539166666666666,0.9456,0.9532,0.9456,128,softmax,0.01,0.25,30,3,50000,20
6,0.15798597240447998,0.9555666666666667,0.943,0.9511,0.943,128,softmax,0.01,0.25,30,3,50000,20
7,0.15165263633728027,0.9585333333333333,0.9367,0.9536,0.9367,128,softmax,0.01,0.25,30,3,50000,20
1,1.7853627721150716,0.6495666666666666,0.7787,0.7815,0.7787,128,sparsemax,0.01,0.25,30,8,1000,20
2,1.5850810580571493,0.7685166666666666,0.7728,0.7781,0.7728,128,sparsemax,0.01,0.25,30,8,1000,20
3,1.5762508514404296,0.7684666666666666,0.7821,0.7808,0.7821,128,sparsemax,0.01,0.25,30,8,1000,20
4,1.5730228256225587,0.7693166666666666,0.7769,0.7809,0.7769,128,sparsemax,0.01,0.25,30,8,1000,20
5,1.5716316621780395,0.7685833333333333,0.7864,0.7882,0.7864,128,sparsemax,0.01,0.25,30,8,1000,20
6,1.5707762056986492,0.7711833333333333,0.7843,0.7866,0.7843,128,sparsemax,0.01,0.25,30,8,1000,20
7,1.570015495745341,0.7725333333333333,0.7718,0.7807,0.7718,128,sparsemax,0.01,0.25,30,8,1000,20
8,1.569588608042399,0.7718666666666667,0.7721,0.7815,0.7721,128,sparsemax,0.01,0.25,30,8,1000,20
9,1.5691467560450236,0.7707166666666667,0.7841,0.7855,0.7841,128,sparsemax,0.01,0.25,30,8,1000,20
10,1.5689123248418173,0.7727833333333334,0.7673,0.7826,0.7673,128,sparsemax,0.01,0.25,30,8,1000,20
11,1.5685832529703776,0.7709833333333334,0.7794,0.7861,0.7794,128,sparsemax,0.01,0.25,30,8,1000,20
12,1.5683580912907917,0.7731833333333333,0.782,0.7828,0.782,128,sparsemax,0.01,0.25,30,8,1000,20
13,1.568205536588033,0.77255,0.7788,0.7828,0.7788,128,sparsemax,0.01,0.25,30,8,1000,20
14,1.568155788230896,0.7716666666666666,0.7814,0.7864,0.7814,128,sparsemax,0.01,0.25,30,8,1000,20
15,1.5681261204401653,0.7720166666666667,0.7769,0.7822,0.7769,128,sparsemax,0.01,0.25,30,8,1000,20
16,1.5680808080673219,0.7723,0.7829,0.7867,0.7829,128,sparsemax,0.01,0.25,30,8,1000,20
17,1.5680523269017537,0.7728166666666667,0.7832,0.7873,0.7832,128,sparsemax,0.01,0.25,30,8,1000,20
18,1.5679742504755656,0.7746,0.7758,0.7822,0.7758,128,sparsemax,0.01,0.25,30,8,1000,20
19,1.5679639572779338,0.77165,0.7804,0.7841,0.7804,128,sparsemax,0.01,0.25,30,8,1000,20
20,1.5678920687993367,0.7718,0.7838,0.7867,0.7838,128,sparsemax,0.01,0.25,30,8,1000,20
1,1.8683046976089477,0.6479666666666667,0.7531,0.747,0.7531,128,sparsemax,0.01,0.25,30,8,1000,20
2,1.7579677555720012,0.7351833333333333,0.7461,0.7434,0.7461,128,sparsemax,0.01,0.25,30,8,1000,20
3,1.757386362139384,0.7353,0.7459,0.7425,0.7459,128,sparsemax,0.01,0.25,30,8,1000,20
4,1.7572246955871582,0.7360666666666666,0.7442,0.7407,0.7442,128,sparsemax,0.01,0.25,30,8,1000,20
5,1.7572088455200194,0.7350833333333333,0.7453,0.7463,0.7453,128,sparsemax,0.01,0.25,30,8,1000,20
6,1.7571521408716837,0.7364,0.7342,0.7393,0.7342,128,sparsemax,0.01,0.25,30,8,1000,20
7,1.7571697281519572,0.73405,0.7409,0.7426,0.7409,128,sparsemax,0.01,0.25,30,8,1000,20
8,1.7571388971328736,0.7354166666666667,0.7432,0.7437,0.7432,128,sparsemax,0.01,0.25,30,8,1000,20
9,1.7570711746851604,0.7346666666666667,0.7542,0.7507,0.7542,128,sparsemax,0.01,0.25,30,8,1000,20
10,1.7571546384175618,0.7362166666666666,0.741,0.7428,0.741,128,sparsemax,0.01,0.25,30,8,1000,20
11,1.7571217616399128,0.73525,0.7514,0.7478,0.7514,128,sparsemax,0.01,0.25,30,8,1000,20
1,2.281457320276896,0.17041666666666666,0.3181,0.4748,0.3181,128,softmax,0.01,0.25,30,8,1000,20
2,1.933435450998942,0.5863166666666667,0.6589,0.6593,0.6589,128,softmax,0.01,0.25,30,8,1000,20
3,1.7099200969060262,0.6763833333333333,0.703,0.6913,0.703,128,softmax,0.01,0.25,30,8,1000,20
