epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS
3,301.7866021917725,0.10094,0.0972,0.1036,0.0972,128,gumbel_softmax,0.01,0.25,100,6,18000,20
1,2.2827139231872557,0.15156,0.1219,0.1723,0.1219,128,gumbel_softmax,0.01,0.25,100,6,18000,20
2,2.247469240112305,0.2204,0.1435,0.2471,0.1435,128,gumbel_softmax,0.01,0.25,100,6,18000,20
3,2.2156414196014405,0.24368,0.174,0.2455,0.174,128,gumbel_softmax,0.01,0.25,100,6,18000,20
4,2.181069080963135,0.258,0.1898,0.2729,0.1898,128,gumbel_softmax,0.01,0.25,100,6,18000,20
5,2.1443697968292237,0.27478,0.2112,0.2971,0.2112,128,gumbel_softmax,0.01,0.25,100,6,18000,20
6,2.1070086376190185,0.28506,0.2341,0.298,0.2341,128,gumbel_softmax,0.01,0.25,100,6,18000,20
7,2.06852157497406,0.29478,0.2516,0.3086,0.2516,128,gumbel_softmax,0.01,0.25,100,6,18000,20
8,2.029522268218994,0.30716,0.2533,0.311,0.2533,128,gumbel_softmax,0.01,0.25,100,6,18000,20
9,1.9927066262817383,0.31936,0.2793,0.3251,0.2793,128,gumbel_softmax,0.01,0.25,100,6,18000,20
10,1.9584040519714356,0.32782,0.2829,0.3343,0.2829,128,gumbel_softmax,0.01,0.25,100,6,18000,20
1,2.302950132598877,0.1002,0.2824,0.1,0.2824,128,gumbel_softmax,0.01,0.25,100,6,18000,20
2,2.302813428039551,0.09926,0.2839,0.1,0.2839,128,gumbel_softmax,0.01,0.25,100,6,18000,20
3,2.302798061065674,0.09956,0.2847,0.1037,0.2847,128,gumbel_softmax,0.01,0.25,100,6,18000,20
4,2.3029701734924317,0.09854,0.2856,0.1,0.2856,128,gumbel_softmax,0.01,0.25,100,6,18000,20
5,2.3029680790710447,0.10038,0.2822,0.1,0.2822,128,gumbel_softmax,0.01,0.25,100,6,18000,20
6,2.303017426071167,0.10134,0.2825,0.1,0.2825,128,gumbel_softmax,0.01,0.25,100,6,18000,20
7,2.302884514312744,0.10258,0.2873,0.1,0.2873,128,gumbel_softmax,0.01,0.25,100,6,18000,20
8,2.3032815167999265,0.09872,0.2821,0.1,0.2821,128,gumbel_softmax,0.01,0.25,100,6,18000,20
1,5.750083753108214e+26,0.19928,0.1693,0.2226,0.1693,128,sparsemax,0.01,0.25,100,10,18000,20
2,2.160365388415391e+31,0.19864,0.1502,0.1972,0.1502,128,sparsemax,0.01,0.25,100,10,18000,20
1,15987769.191536242,0.22456,0.1626,0.2518,0.1626,128,sparsemax,0.01,0.25,100,10,18000,20
2,1353047017039649.0,0.21942,0.1636,0.227,0.1636,128,sparsemax,0.01,0.25,100,10,18000,20
3,11578798271628.375,0.21936,0.1572,0.2262,0.1572,128,sparsemax,0.01,0.25,100,10,18000,20
4,94856288.83640514,0.21866,0.1649,0.229,0.1649,128,sparsemax,0.01,0.25,100,10,18000,20
5,94925734.70856637,0.2191,0.1689,0.227,0.1689,128,sparsemax,0.01,0.25,100,10,18000,20
6,243559009.6752277,0.22166,0.1607,0.2235,0.1607,128,sparsemax,0.01,0.25,100,10,18000,20
7,65925732.40714748,0.21988,0.1701,0.2307,0.1701,128,sparsemax,0.01,0.25,100,10,18000,20
8,396369345546.7331,0.2271,0.1626,0.229,0.1626,128,sparsemax,0.01,0.25,100,10,18000,20
