epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS,CONNECTIONS
12,1.0599532188733418,0.7566666666666667,0.7591,0.7607,0.7591,128,softmax,0.01,0.25,30,4,1000,20,learned
13,1.0565290253957114,0.7584666666666666,0.7597,0.7612,0.7597,128,softmax,0.01,0.25,30,4,1000,20,learned
14,1.0505795159022013,0.7612833333333333,0.7659,0.7637,0.7659,128,softmax,0.01,0.25,30,4,1000,20,learned
15,1.0473810174306233,0.7633833333333333,0.7663,0.7654,0.7663,128,softmax,0.01,0.25,30,4,1000,20,learned
16,1.0430943529446919,0.7623,0.7653,0.7653,0.7653,128,softmax,0.01,0.25,30,4,1000,20,learned
17,1.0390847356478374,0.7633,0.7666,0.7665,0.7666,128,softmax,0.01,0.25,30,4,1000,20,learned
18,1.035290904935201,0.7643333333333333,0.767,0.7666,0.767,128,softmax,0.01,0.25,30,4,1000,20,learned
19,1.0314469985326131,0.7649,0.767,0.7667,0.767,128,softmax,0.01,0.25,30,4,1000,20,learned
20,1.0285247909545898,0.76495,0.767,0.7673,0.767,128,softmax,0.01,0.25,30,4,1000,20,learned
1,1.9335720006306967,0.5467666666666666,0.7874,0.7848,0.7874,128,softmax,0.01,0.25,30,4,1000,20,random
2,1.5395503508885702,0.7892,0.8025,0.8041,0.8025,128,softmax,0.01,0.25,30,4,1000,20,random
3,1.50479705397288,0.7981333333333334,0.8032,0.805,0.8032,128,softmax,0.01,0.25,30,4,1000,20,random
4,1.4946365524927776,0.7993666666666667,0.8051,0.8076,0.8051,128,softmax,0.01,0.25,30,4,1000,20,random
5,1.4886451647440593,0.8013833333333333,0.8075,0.8088,0.8075,128,softmax,0.01,0.25,30,4,1000,20,random
6,1.4848201064427693,0.8034,0.8095,0.8096,0.8095,128,softmax,0.01,0.25,30,4,1000,20,random
7,1.481983675702413,0.80445,0.8101,0.8111,0.8101,128,softmax,0.01,0.25,30,4,1000,20,random
8,1.4798998825073242,0.8051,0.8108,0.811,0.8108,128,softmax,0.01,0.25,30,4,1000,20,random
9,1.4781400667190552,0.8059,0.8131,0.8142,0.8131,128,softmax,0.01,0.25,30,4,1000,20,random
10,1.476747181002299,0.8064833333333333,0.8127,0.8135,0.8127,128,softmax,0.01,0.25,30,4,1000,20,random
11,1.4757734098434447,0.8062166666666667,0.8128,0.8127,0.8128,128,softmax,0.01,0.25,30,4,1000,20,random
12,1.4750208511352538,0.8064,0.8136,0.8138,0.8136,128,softmax,0.01,0.25,30,4,1000,20,random
13,1.4740378206888836,0.8061166666666667,0.8139,0.8138,0.8139,128,softmax,0.01,0.25,30,4,1000,20,random
14,1.4732485333760579,0.8060833333333334,0.8132,0.8145,0.8132,128,softmax,0.01,0.25,30,4,1000,20,random
15,1.4723333772659302,0.8065666666666667,0.8135,0.8144,0.8135,128,softmax,0.01,0.25,30,4,1000,20,random
16,1.4716446752548218,0.8073,0.814,0.8155,0.814,128,softmax,0.01,0.25,30,4,1000,20,random
17,1.4712922047932944,0.8080166666666667,0.8139,0.8145,0.8139,128,softmax,0.01,0.25,30,4,1000,20,random
18,1.470990775235494,0.8081166666666667,0.8148,0.8149,0.8148,128,softmax,0.01,0.25,30,4,1000,20,random
19,1.470552874437968,0.8083833333333333,0.8159,0.8155,0.8159,128,softmax,0.01,0.25,30,4,1000,20,random
20,1.470059193166097,0.8086,0.817,0.8157,0.817,128,softmax,0.01,0.25,30,4,1000,20,random
1,1.9179083852767944,0.6273,0.7056,0.7085,0.7056,128,sparsemax,0.01,0.25,30,4,1000,20,random
2,1.8397599370956421,0.6937666666666666,0.722,0.7164,0.722,128,sparsemax,0.01,0.25,30,4,1000,20,random
3,1.8383639388402304,0.7030166666666666,0.7188,0.7158,0.7188,128,sparsemax,0.01,0.25,30,4,1000,20,random
4,1.838172001584371,0.7012,0.7191,0.7156,0.7191,128,sparsemax,0.01,0.25,30,4,1000,20,random
5,1.8381130455652872,0.70155,0.7136,0.7147,0.7136,128,sparsemax,0.01,0.25,30,4,1000,20,random
6,1.8380871901830038,0.7012666666666667,0.711,0.7146,0.711,128,sparsemax,0.01,0.25,30,4,1000,20,random
7,1.83804964650472,0.6987666666666666,0.7213,0.7171,0.7213,128,sparsemax,0.01,0.25,30,4,1000,20,random
8,1.8380430646896362,0.7022166666666667,0.7159,0.7131,0.7159,128,sparsemax,0.01,0.25,30,4,1000,20,random
9,1.8380357129414877,0.70035,0.7201,0.7151,0.7201,128,sparsemax,0.01,0.25,30,4,1000,20,random
10,1.8380378220240274,0.6998166666666666,0.7186,0.716,0.7186,128,sparsemax,0.01,0.25,30,4,1000,20,random
11,1.838024289639791,0.7002333333333334,0.7175,0.7155,0.7175,128,sparsemax,0.01,0.25,30,4,1000,20,random
12,1.8380350305557251,0.70105,0.7141,0.7148,0.7141,128,sparsemax,0.01,0.25,30,4,1000,20,random
13,1.838025849088033,0.7009833333333333,0.7119,0.7139,0.7119,128,sparsemax,0.01,0.25,30,4,1000,20,random
14,1.8380251253763835,0.6992833333333334,0.7147,0.7134,0.7147,128,sparsemax,0.01,0.25,30,4,1000,20,random
15,1.838014151763916,0.7009833333333333,0.7117,0.7143,0.7117,128,sparsemax,0.01,0.25,30,4,1000,20,random
1,1.9115471157709758,0.6633666666666667,0.7447,0.7426,0.7447,128,sparsemax,0.01,0.25,30,4,1000,20,random
2,1.8377430877049763,0.7307,0.7372,0.7413,0.7372,128,sparsemax,0.01,0.25,30,4,1000,20,random
3,1.8371973735173543,0.73015,0.7382,0.7418,0.7382,128,sparsemax,0.01,0.25,30,4,1000,20,random
4,1.8369665583928425,0.7288166666666667,0.7501,0.7472,0.7501,128,sparsemax,0.01,0.25,30,4,1000,20,random
5,1.8368501765569052,0.7331666666666666,0.7455,0.7444,0.7455,128,sparsemax,0.01,0.25,30,4,1000,20,random
6,1.8368139485677084,0.7321333333333333,0.7466,0.7453,0.7466,128,sparsemax,0.01,0.25,30,4,1000,20,random
7,1.8367938817342122,0.7321166666666666,0.747,0.7451,0.747,128,sparsemax,0.01,0.25,30,4,1000,20,random
8,1.8367464354832967,0.73205,0.7426,0.7417,0.7426,128,sparsemax,0.01,0.25,30,4,1000,20,random
9,1.836751904741923,0.7313166666666666,0.7462,0.7445,0.7462,128,sparsemax,0.01,0.25,30,4,1000,20,random
10,1.8367173795700074,0.7323833333333334,0.7436,0.743,0.7436,128,sparsemax,0.01,0.25,30,4,1000,20,random
11,1.8367514556248983,0.7314166666666667,0.7456,0.7441,0.7456,128,sparsemax,0.01,0.25,30,4,1000,20,random
12,1.8367113116582234,0.7326333333333334,0.7469,0.7444,0.7469,128,sparsemax,0.01,0.25,30,4,1000,20,random
13,1.8367163279851277,0.7309833333333333,0.7455,0.744,0.7455,128,sparsemax,0.01,0.25,30,4,1000,20,random
14,1.836703234354655,0.7306,0.7455,0.7435,0.7455,128,sparsemax,0.01,0.25,30,4,1000,20,random
15,1.83666806863149,0.7307166666666667,0.7436,0.7448,0.7436,128,sparsemax,0.01,0.25,30,4,1000,20,random
16,1.8366683266321817,0.7322833333333333,0.7417,0.7431,0.7417,128,sparsemax,0.01,0.25,30,4,1000,20,random
17,1.836686115837097,0.7302666666666666,0.7436,0.7436,0.7436,128,sparsemax,0.01,0.25,30,4,1000,20,random
18,1.8366955887476604,0.7323333333333333,0.7423,0.7437,0.7423,128,sparsemax,0.01,0.25,30,4,1000,20,random
19,1.8366740977605185,0.7317166666666667,0.7455,0.7446,0.7455,128,sparsemax,0.01,0.25,30,4,1000,20,random
20,1.8366784638086955,0.7315166666666667,0.7436,0.7455,0.7436,128,sparsemax,0.01,0.25,30,4,1000,20,random
1,1.8366823008219402,0.73315,0.7436,0.7458,0.7436,128,sparsemax,0.01,0.25,30,4,1000,20,random
2,1.8366365242004394,0.7332833333333333,0.7437,0.7441,0.7437,128,sparsemax,0.01,0.25,30,4,1000,20,random
3,1.8366701909383139,0.73095,0.7436,0.7447,0.7436,128,sparsemax,0.01,0.25,30,4,1000,20,random
4,1.8366505292892457,0.7322,0.7389,0.7451,0.7389,128,sparsemax,0.01,0.25,30,4,1000,20,random
5,1.8366569728215536,0.73295,0.7392,0.7449,0.7392,128,sparsemax,0.01,0.25,30,4,1000,20,random
6,1.8366523546854654,0.7317333333333333,0.7372,0.7446,0.7372,128,sparsemax,0.01,0.25,30,4,1000,20,random
7,1.836653620592753,0.7323833333333334,0.7389,0.744,0.7389,128,sparsemax,0.01,0.25,30,4,1000,20,random
8,1.8366541845321656,0.7322833333333333,0.7389,0.7441,0.7389,128,sparsemax,0.01,0.25,30,4,1000,20,random
9,1.8366511465072632,0.73215,0.7389,0.7447,0.7389,128,sparsemax,0.01,0.25,30,4,1000,20,random
10,1.8366667034784954,0.73205,0.7389,0.7442,0.7389,128,sparsemax,0.01,0.25,30,4,1000,20,random
11,1.836660711924235,0.7324166666666667,0.7389,0.744,0.7389,128,sparsemax,0.01,0.25,30,4,1000,20,random
12,1.8366450019200642,0.7312666666666666,0.7389,0.7444,0.7389,128,sparsemax,0.01,0.25,30,4,1000,20,random
13,1.836660241127014,0.7318833333333333,0.7408,0.7446,0.7408,128,sparsemax,0.01,0.25,30,4,1000,20,random
14,1.8366551902770996,0.7323333333333333,0.7372,0.7447,0.7372,128,sparsemax,0.01,0.25,30,4,1000,20,random
15,1.8366593256632486,0.73205,0.7372,0.7444,0.7372,128,sparsemax,0.01,0.25,30,4,1000,20,random
16,1.836659166208903,0.7320833333333333,0.7389,0.7449,0.7389,128,sparsemax,0.01,0.25,30,4,1000,20,random
17,1.8366445292154947,0.7327666666666667,0.7389,0.7445,0.7389,128,sparsemax,0.01,0.25,30,4,1000,20,random
1,1.3908392623901367,0.7626833333333334,0.8158,0.8162,0.8158,128,sparsemax,0.01,0.25,30,4,1000,20,learned
2,1.2761822781880696,0.813,0.8181,0.8193,0.8181,128,sparsemax,0.01,0.25,30,4,1000,20,learned
3,1.2759287375768025,0.8138333333333333,0.8181,0.8187,0.8181,128,sparsemax,0.01,0.25,30,4,1000,20,learned
4,1.2759032145818074,0.8137,0.8201,0.8189,0.8201,128,sparsemax,0.01,0.25,30,4,1000,20,learned
5,1.275881703821818,0.8138333333333333,0.8184,0.8194,0.8184,128,sparsemax,0.01,0.25,30,4,1000,20,learned
6,1.2758860067367555,0.8134833333333333,0.8184,0.8195,0.8184,128,sparsemax,0.01,0.25,30,4,1000,20,learned
1,2.3048459929148355,0.1029,0.1026,0.1092,0.1026,128,gumbel_softmax,0.01,0.25,30,4,1000,20,learned
2,2.3042875319163003,0.1067,0.1072,0.1061,0.1072,128,gumbel_softmax,0.01,0.25,30,4,1000,20,learned
3,2.3041437088012695,0.10663333333333333,0.106,0.101,0.106,128,gumbel_softmax,0.01,0.25,30,4,1000,20,learned
1,1.6974395778020224,0.7172666666666667,0.7449,0.7451,0.7449,128,sparsemax,0.01,0.25,30,4,1000,20,learned
